행정구역/외식업,개업수,폐업수,개업률,폐업률
종로구,833,760,2.975,2.75
중구,686,696,2.625,2.65
용산구,767,585,3.55,2.7
성동구,729,630,3.975,3.425
광진구,851,796,3.975,3.675
동대문구,716,684,3.575,3.375
중랑구,677,673,3.875,3.85
성북구,679,617,3.5,3.2
강북구,592,608,3.75,3.85
도봉구,430,438,3.475,3.55
노원구,626,679,3.35,3.65
은평구,725,736,3.7,3.75
서대문구,614,580,3.375,3.2
마포구,1680,1439,4.3,3.7
양천구,623,668,3.75,4.025
강서구,1313,1226,4.55,4.25
구로구,739,713,3.65,3.525
금천구,582,547,3.9,3.65
영등포구,1056,1031,3.375,3.25
동작구,584,594,3.375,3.45
관악구,899,992,3.775,4.175
서초구,912,947,3.025,3.15
강남구,1983,1879,3.525,3.375
송파구,1428,1357,4.025,3.85
강동구,823,882,3.8,4.1
