구,동,pc검색량,모바일검색량
마포구,연남동,12100 ,108400 
중구,명동,9940 ,97960 
성동구,성수동,9110 ,80200 
종로구,익선동,5720 ,64330 
용산구,한남동,7140 ,61300 
종로구,인사동,4280 ,46100 
송파구,방이동,5630 ,39500 
서대문구,연희동,3390 ,30100 
종로구,삼청동,2290 ,21600 
관악구,삼성동,3340 ,17400 
중구,신당동,2680 ,16600 
도봉구,창동,1520 ,14800 
성북구,성북동,1470 ,13900 
송파구,문정동,2680 ,13700 
관악구,신사동,1940 ,12000 
강남구,신사동,1940 ,12000 
강남구,논현동,1810 ,11600 
강남구,청담동,1660 ,11000 
종로구,부암동,1290 ,10400 
성동구,금호동,1150 ,10000 
서초구,양재동,1360 ,7750 
강남구,역삼동,1390 ,6950 
서대문구,홍제동,820 ,6690 
송파구,가락동,1140 ,6660 
강남구,일원동,630 ,6310 
용산구,후암동,1180 ,6250 
중구,장충동,670 ,6090 
종로구,평창동,600 ,6050 
강동구,둔촌동,740 ,5460 
도봉구,쌍문동,630 ,5410 
중구,북창동,1600 ,5100 
강남구,도곡동,710 ,5080 
강남구,세곡동,750 ,4240 
송파구,삼전동,660 ,4230 
마포구,합정동,680 ,4190 
송파구,거여동,460 ,3710 
송파구,오금동,370 ,3030 
중구,약수동,370 ,3000 
종로구,안국동,330 ,2810 
마포구,공덕동,420 ,2410 
송파구,석촌동,340 ,2390 
서대문구,홍은동,250 ,2250 
중구,정동,400 ,2060 
중구,황학동,200 ,1570 
강남구,압구정동,170 ,1070 
관악구,삼성동,110 ,1050 
중구,회현동,180 ,630 
송파구,잠실동,50 ,510 
중구,순화동,80 ,300 
강서구,방화동,10 ,50 
